,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barguzin,RU,53.6167,109.6167,36.75,54,93,8.39,overcast clouds
1,Erdenet,MN,49.0333,104.0833,35.89,35,100,12.53,overcast clouds
2,Busselton,AU,-33.65,115.3333,72.0,54,4,1.99,clear sky
3,Lebu,CL,-37.6167,-73.65,54.19,85,8,4.54,clear sky
4,Cockburn Town,TC,21.4612,-71.1419,73.62,63,28,10.83,scattered clouds
5,Longyearbyen,SJ,78.2186,15.6401,10.4,61,75,16.11,broken clouds
6,Pravia,ES,43.4906,-6.1508,55.0,71,40,12.66,scattered clouds
7,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.03,79,92,8.55,overcast clouds
8,Paamiut,GL,61.994,-49.6678,23.45,79,100,28.63,overcast clouds
9,Kodiak,US,57.79,-152.4072,37.4,87,90,3.44,light rain
10,Saint-Philippe,RE,-21.3585,55.7679,86.0,66,0,9.22,light rain
11,Ilulissat,GL,69.2167,-51.1,14.0,67,75,8.05,broken clouds
12,Road Town,VG,18.4167,-64.6167,75.0,76,4,3.0,clear sky
13,Bredasdorp,ZA,-34.5322,20.0403,68.0,73,75,7.49,broken clouds
14,Avarua,CK,-21.2078,-159.775,71.6,94,40,2.3,scattered clouds
15,Hermanus,ZA,-34.4187,19.2345,69.01,79,87,4.0,overcast clouds
16,Shimoda,JP,34.6667,138.95,55.4,50,75,10.36,broken clouds
17,Mataura,NZ,-46.1927,168.8643,55.0,81,93,3.0,overcast clouds
18,Vao,NC,-22.6667,167.4833,75.33,78,100,19.15,overcast clouds
19,Rikitea,PF,-23.1203,-134.9692,78.12,74,4,9.82,light rain
20,Kidal,ML,18.4411,1.4078,90.97,7,1,7.67,clear sky
21,Pevek,RU,69.7008,170.3133,1.62,84,25,7.02,scattered clouds
22,Iwata,JP,34.7,137.85,60.01,47,75,9.22,broken clouds
23,Cassia,BR,-20.5831,-46.9219,63.41,88,90,4.43,overcast clouds
24,Comodoro Rivadavia,AR,-45.8667,-67.5,53.6,50,0,16.11,clear sky
25,Provideniya,RU,64.3833,-173.3,13.98,92,13,4.68,few clouds
26,Japura,ID,-0.3167,102.35,91.4,52,100,2.01,overcast clouds
27,Baoqing,CN,46.3317,132.2111,56.44,20,11,9.46,few clouds
28,Mar Del Plata,AR,-38.0023,-57.5575,59.0,1,0,8.99,clear sky
29,Ushuaia,AR,-54.8,-68.3,42.8,52,0,5.75,clear sky
30,Butaritari,KI,3.0707,172.7902,81.32,78,99,8.23,moderate rain
31,Taoudenni,ML,22.6783,-3.9836,80.35,25,0,17.56,clear sky
32,Bluff,NZ,-46.6,168.3333,55.0,81,99,3.0,overcast clouds
33,Tuktoyaktuk,CA,69.4541,-133.0374,26.29,96,100,5.41,overcast clouds
34,Flinders,AU,-34.5833,150.8552,68.0,32,0,12.66,clear sky
35,Mabaruma,GY,8.2,-59.7833,72.34,94,94,2.08,overcast clouds
36,Qaanaaq,GL,77.484,-69.3632,-9.92,59,55,7.94,broken clouds
37,Qaqortoq,GL,60.7167,-46.0333,32.0,80,90,4.61,overcast clouds
38,Castro,BR,-24.7911,-50.0119,56.57,82,99,10.38,overcast clouds
39,Port Alfred,ZA,-33.5906,26.891,72.7,66,38,8.95,scattered clouds
40,Poltavka,RU,54.3663,71.7632,41.45,97,100,8.72,overcast clouds
41,Cidreira,BR,-30.1811,-50.2056,69.17,77,83,17.45,broken clouds
42,Ugoofaaru,MV,5.6667,73.0,83.7,70,63,8.21,broken clouds
43,Whitstable,GB,51.3607,1.0257,45.0,76,17,1.99,few clouds
44,Ossora,RU,59.2353,163.0719,30.25,95,100,2.59,overcast clouds
45,Fortuna,US,40.5982,-124.1573,39.99,100,1,8.05,clear sky
46,Lata,PT,40.1629,-8.3327,60.01,77,100,5.01,overcast clouds
47,Bria,CF,6.5423,21.9863,89.6,41,37,6.4,scattered clouds
48,Isangel,VU,-19.55,169.2667,80.4,82,95,6.58,overcast clouds
49,Simao,CN,22.7886,100.9748,88.16,17,97,9.42,overcast clouds
50,Seydi,TM,39.4816,62.9137,73.36,22,1,4.83,clear sky
51,Vanderhoof,CA,54.0166,-124.0198,35.98,96,25,1.74,scattered clouds
52,Finale Ligure,IT,44.1695,8.3436,51.8,66,40,3.44,scattered clouds
53,Cape Town,ZA,-33.9258,18.4232,69.01,77,20,14.97,few clouds
54,Dunedin,NZ,-45.8742,170.5036,57.0,88,100,3.0,overcast clouds
55,Constitucion,CL,-35.3333,-72.4167,55.38,64,0,6.71,clear sky
56,Tazovskiy,RU,67.4667,78.7,29.41,84,78,20.92,broken clouds
57,Biak,ID,-0.9131,122.8766,76.5,86,78,2.73,broken clouds
58,Micheweni,TZ,-4.9667,39.8333,83.17,72,82,12.46,broken clouds
59,Puerto Escondido,MX,15.85,-97.0667,79.38,69,67,4.81,broken clouds
60,Punta Arenas,CL,-53.15,-70.9167,39.2,93,90,5.75,moderate rain
61,Ribeira Grande,PT,38.5167,-28.7,62.6,88,75,2.3,broken clouds
62,Bengkulu,ID,-3.8004,102.2655,84.34,68,100,6.71,overcast clouds
63,San Cristobal,VE,7.7669,-72.225,66.7,93,100,1.19,overcast clouds
64,Bonfim,BR,3.0833,-59.95,75.97,88,100,2.01,overcast clouds
65,Bandarbeyla,SO,9.4942,50.8122,85.98,54,98,9.55,overcast clouds
66,Saskylakh,RU,71.9167,114.0833,3.99,86,19,3.06,few clouds
67,Phek,IN,25.6667,94.5,79.97,18,87,5.19,overcast clouds
68,Roald,NO,62.5833,6.1333,42.8,61,75,8.05,broken clouds
69,Broome,US,42.2506,-75.833,48.0,61,90,3.44,overcast clouds
70,Toamasina,MG,-18.1667,49.3833,82.4,83,75,3.44,broken clouds
71,Torquay,GB,50.4638,-3.5143,44.01,1,9,1.01,clear sky
72,Atuona,PF,-9.8,-139.0333,80.8,71,25,18.61,scattered clouds
73,Chicama,PE,-7.8447,-79.1469,68.13,83,90,5.93,overcast clouds
74,Jawa,JO,31.8525,35.9393,75.2,17,1,7.96,clear sky
75,Port Hardy,CA,50.6996,-127.4199,44.6,100,20,3.44,few clouds
76,Clyde River,CA,70.4692,-68.5914,-7.6,71,1,19.57,clear sky
77,Lakshmipur,BD,22.95,90.8333,94.32,42,99,12.64,overcast clouds
78,Guayaramerin,BO,-10.8368,-65.3614,71.76,96,100,1.12,overcast clouds
79,Hilo,US,19.7297,-155.09,71.6,73,75,8.28,broken clouds
80,Albany,US,42.6001,-73.9662,55.0,78,100,2.82,overcast clouds
81,Nikolskoye,RU,59.7035,30.7861,44.6,36,0,15.66,clear sky
82,Tommot,RU,58.9564,126.2925,35.55,65,99,6.6,light snow
83,Katsuura,JP,35.1333,140.3,55.99,43,64,12.48,broken clouds
84,Jamestown,US,42.097,-79.2353,42.01,87,90,10.36,overcast clouds
