City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,General Pico,AR,2021-04-13 06:46:49,-35.6566,-63.7568,54.19,78,0,7.61
1,Hobart,AU,2021-04-13 06:46:49,-42.8794,147.3294,63.0,55,75,13.8
2,Punta Arenas,CL,2021-04-13 06:46:49,-53.15,-70.9167,42.8,75,40,20.71
3,Kaka,TM,2021-04-13 06:46:50,37.3482,59.6143,74.93,20,96,8.97
4,Cap Malheureux,MU,2021-04-13 06:46:50,-19.9842,57.6142,84.0,65,100,8.99
5,Tuktoyaktuk,CA,2021-04-13 06:46:50,69.4541,-133.0374,13.77,93,96,8.05
6,Geraldton,AU,2021-04-13 06:46:51,-28.7667,114.6,71.6,46,75,13.8
7,Manzanillo,CU,2021-04-13 06:46:51,20.3433,-77.1167,75.33,83,6,2.64
8,Hermanus,ZA,2021-04-13 06:46:52,-34.4187,19.2345,64.99,85,5,4.0
9,Cape Town,ZA,2021-04-13 06:43:41,-33.9258,18.4232,70.0,94,36,1.14
10,Ushuaia,AR,2021-04-13 06:46:52,-54.8,-68.3,46.4,57,75,14.97
11,Longido,TZ,2021-04-13 06:46:52,-2.7333,36.6833,71.56,67,100,6.87
12,Barrow,US,2021-04-13 06:43:58,71.2906,-156.7887,5.0,72,90,17.27
13,Cabo San Lucas,MX,2021-04-13 06:42:25,22.8909,-109.9124,71.01,45,0,14.85
14,Mazatlan,MX,2021-04-13 06:45:40,23.2167,-106.4167,72.0,94,1,2.3
15,Albany,US,2021-04-13 06:44:24,42.6001,-73.9662,44.01,78,99,1.3
16,Hobyo,SO,2021-04-13 06:46:53,5.3505,48.5268,86.05,53,100,12.95
17,Bluff,NZ,2021-04-13 06:46:53,-46.6,168.3333,54.0,95,95,4.21
18,Busselton,AU,2021-04-13 06:46:54,-33.65,115.3333,62.01,68,89,8.01
19,Luanda,AO,2021-04-13 06:45:18,-8.8368,13.2343,78.8,94,75,4.76
20,Itaqui,BR,2021-04-13 06:46:54,-29.1253,-56.5531,56.64,78,29,8.63
21,Norman Wells,CA,2021-04-13 06:42:49,65.282,-126.8329,19.4,49,40,5.75
22,Grand Gaube,MU,2021-04-13 06:46:55,-20.0064,57.6608,84.0,65,100,8.99
23,Georgetown,MY,2021-04-13 06:45:10,5.4112,100.3354,89.6,62,40,6.91
24,Noyabrsk,RU,2021-04-13 06:46:55,63.1994,75.4507,33.1,99,100,21.47
25,Boueni,YT,2021-04-13 06:46:55,-12.9025,45.0761,80.6,78,71,6.91
26,Mataura,NZ,2021-04-13 06:46:56,-46.1927,168.8643,54.0,95,100,2.55
27,Beringovskiy,RU,2021-04-13 06:42:46,63.05,179.3167,14.02,90,100,19.55
28,Arica,CL,2021-04-13 06:45:22,-18.475,-70.3042,66.2,68,0,3.44
29,Esperance,AU,2021-04-13 06:46:56,-33.8667,121.9,62.6,63,75,23.02
30,Touros,BR,2021-04-13 06:46:57,-5.1989,-35.4608,75.2,100,40,4.61
31,East London,ZA,2021-04-13 06:42:55,-33.0153,27.9116,73.4,88,75,2.3
32,Bonavista,CA,2021-04-13 06:46:57,48.6499,-53.1147,37.99,100,100,6.91
33,Lebu,CL,2021-04-13 06:46:58,-37.6167,-73.65,55.27,91,1,15.17
34,Leningradskiy,RU,2021-04-13 06:46:58,69.3833,178.4167,1.99,89,100,10.02
35,Butaritari,KI,2021-04-13 06:46:58,3.0707,172.7902,81.97,78,100,10.69
36,Bonthe,SL,2021-04-13 06:46:59,7.5264,-12.505,77.47,84,99,2.71
37,Kapaa,US,2021-04-13 06:46:59,22.0752,-159.319,73.4,68,75,17.27
38,Victoria,HK,2021-04-13 06:42:22,22.2855,114.1577,84.2,51,20,11.5
39,College,US,2021-04-13 06:47:00,64.8569,-147.8028,37.4,69,75,3.44
40,Mar Del Plata,AR,2021-04-13 06:46:30,-38.0023,-57.5575,61.0,93,0,5.75
41,Severo-Kurilsk,RU,2021-04-13 06:47:00,50.6789,156.125,37.13,87,100,7.49
42,Fethiye,TR,2021-04-13 06:47:00,36.6217,29.1164,59.0,58,0,5.75
43,Sisimiut,GL,2021-04-13 06:47:01,66.9395,-53.6735,33.48,85,100,14.72
44,Torbay,CA,2021-04-13 06:47:01,47.6666,-52.7314,37.4,100,90,28.77
45,Verkhnyaya Inta,RU,2021-04-13 06:47:01,65.9811,60.3094,32.74,99,100,9.15
